année,prix_moy
2001,74.26
2002,76.34
2003,77.63
2004,79.59
2005,83.71
2006,88.50
2007,89.55
2008,89.67
2009,87.08
2010,91.51
2011,94.44
2012,94.44
2013,95.98
2014,96.80
2015,100.00
2016,106.86
2017,111.56
2018,113.88
2019,118.43
2020,125.01
2021,124.78
