année,prix_moy
2001,68.40
2002,71.80
2003,72.60
2004,74.80
2005,76.60
2006,78.97
2007,81.43
2008,85.16
2009,86.12
2010,87.53
2011,90.63
2012,93.93
2013,96.51
2014,98.62
2015,100.00
2016,101.31
2017,103.58
2018,104.52
2019,106.67
2020,108.57
2021,111.67
