année,prix_moy
2001,26.47
2002,27.09
2003,28.13
2004,29.23
2005,30.41
2006,32.0
2007,33.2
2008,34.64
2009,35.06
2010,35.38
2011,35.75
2012,37.37
2013,38.19
2014,38.72
2015,38.78
2016,38.73
2017,38.96
2018,39.64
2019,39.42
2020,39.75
2021,40.84
