année,prix_moy
2021,108.47
2020,106.74
2019,104.91
2018,103.50
2017,102.05
2016,100.86
2015,100.00
2014,99.03
2013,97.73
2012,94.07
2011,90.19
2010,88.12
2009,87.32
2008,86.20
2007,82.64
2006,80.36
2005,76.90
2004,74.20
2003,71.20
2002,69.60
2001,68.60
