année,prix_moy
2001,8.79
2002,8.46
2003,8.44
2004,8.57
2005,8.74
2006,8.98
2007,9.17
2008,9.43
2009,9.52
2010,9.48
2011,9.75
2012,10.14
2013,10.49
2014,10.56
2015,10.47
2016,10.81
2017,10.91
2018,10.98
2019,11.14
2020,11.37
2021,11.6
