année,prix_moy
2021,109.24
2020,110.15
2019,105.29
2018,102.36
2017,101.43
2016,99.85
2015,100.00
2014,100.17
2013,99.24
2012,95.33
2011,91.14
2010,88.62
2009,88.61
2008,87.45
2007,84.89
2006,83.00
2005,80.40
2004,79.10
2003,77.80
2002,77.30
2001,78.80
