année,conso_viande
2001,22.80
2002,23.30
2003,22.20
2004,22.60
2005,22.50
2006,22.70
2007,21.50
2008,20.40
2009,21.10
2010,21.60
2011,22.30
2012,21.10
2013,22.50
2014,23.10
2015,22.70
2016,22.50
2017,23.50
2018,23.60
2019,22.80
2020,21.90
2021,22.80
