année,prix_moy
2001,69.99
2002,70.99
2003,71.21
2004,74.08
2005,73.55
2006,74.50
2007,78.17
2008,87.02
2009,87.98
2010,88.41
2011,94.76
2012,97.14
2013,100.48
2014,100.67
2015,100.00
2016,99.97
2017,100.56
2018,101.22
2019,103.54
2020,104.42
2021,107.41
